Name,Link,UpcomingEvents,Place,Time
Hyprov: Improv Under Hypnosis,https://pittsburgh.events/tickets/hyprov-improv-under-hypnosis/,1,Carnegie of Homestead Music Hall,"Nov 9, 2025 7:00 PM"
Pinkshift,https://pittsburgh.events/tickets/pinkshift/,1,Thunderbird Cafe,"Nov 9, 2025 7:00 PM"
Cinema Stereo,https://pittsburgh.events/tickets/cinema-stereo/,1,Crafthouse Stage & Grill,"Nov 9, 2025 7:00 PM"
Arrival From Sweden: The Music of Abba,https://pittsburgh.events/tickets/arrival-from-sweden-the-music-of-abba/,1,Capitol Theatre - Wheeling,"Nov 9, 2025 8:00 PM"
Micro Maidens,https://pittsburgh.events/tickets/micro-maidens/,1,Jergel's Rhythm Grille,"Nov 9, 2025 8:00 PM"
Clownvis Presley,https://pittsburgh.events/tickets/clownvis-presley/,1,Crafthouse Stage & Grill,"Nov 10, 2025 7:30 PM"
Violent Vira,https://pittsburgh.events/tickets/violent-vira/,1,Mr Small's Theatre,"Nov 10, 2025 8:00 PM"
Lolo,https://pittsburgh.events/tickets/lolo/,1,Spirit Hall,"Nov 10, 2025 8:00 PM"
A Killer's Confession,https://pittsburgh.events/tickets/a-killers-confession/,1,Crafthouse Stage & Grill,"Nov 11, 2025 6:30 PM"
The Arcadian Wild,https://pittsburgh.events/tickets/the-arcadian-wild/,1,Thunderbird Cafe,"Nov 11, 2025 7:00 PM"
John Splithoff,https://pittsburgh.events/tickets/john-splithoff/,1,City Winery - Pittsburgh,"Nov 11, 2025 7:30 PM"
Black Violin,https://pittsburgh.events/tickets/black-violin/,1,Carnegie Music Hall of Oakland - Pittsburgh,"Nov 11, 2025 7:30 PM"
Will Varley,https://pittsburgh.events/tickets/will-varley/,1,Mr Small's Fun House,"Nov 11, 2025 8:00 PM"
Joshua Burnside,https://pittsburgh.events/tickets/joshua-burnside/,1,The Original Pittsburgh Winery,"Nov 11, 2025 8:00 PM"
Boyce Avenue,https://pittsburgh.events/tickets/boyce-avenue/,1,Jergel's Rhythm Grille,"Nov 11, 2025 8:00 PM"
Paul McCartney,https://pittsburgh.events/tickets/paul-mccartney/,1,PPG Paints Arena,"Nov 11, 2025 8:00 PM"
Minus The Bear,https://pittsburgh.events/tickets/minus-the-bear/,1,Roxian Theatre,"Nov 11, 2025 8:00 PM"
Weakened Friends,https://pittsburgh.events/tickets/weakened-friends/,1,Bottlerocket Social Hall,"Nov 12, 2025 7:00 PM"
The Sloppy Boys,https://pittsburgh.events/tickets/the-sloppy-boys/,1,Crafthouse Stage & Grill,"Nov 12, 2025 7:30 PM"
Grace Helbig,https://pittsburgh.events/tickets/grace-helbig/,1,City Winery - Pittsburgh,"Nov 12, 2025 7:30 PM"
Jonas Brothers,https://pittsburgh.events/tickets/jonas-brothers/,1,PPG Paints Arena,"Nov 12, 2025 7:30 PM"
Josh Ritter,https://pittsburgh.events/tickets/josh-ritter/,1,Carnegie of Homestead Music Hall,"Nov 12, 2025 8:00 PM"
Uli Jon Roth,https://pittsburgh.events/tickets/uli-jon-roth/,1,Jergel's Rhythm Grille,"Nov 12, 2025 8:00 PM"
Tyler Rich,https://pittsburgh.events/tickets/tyler-rich/,1,Live! Casino Pittsburgh,"Nov 13, 2025 7:00 PM"
Kansas - The Band,https://pittsburgh.events/tickets/kansas-the-band/,1,1st Summit Arena at Cambria County War Memorial,"Nov 13, 2025 7:00 PM"
Abbamania,https://pittsburgh.events/tickets/abbamania/,1,Palace Theatre - PA,"Nov 13, 2025 7:30 PM"
Steel Moon Rising - Tribute to Tom Petty,https://pittsburgh.events/tickets/steel-moon-rising-tribute-to-tom-petty/,1,Jergel's Rhythm Grille,"Nov 13, 2025 7:30 PM"
Mac Saturn,https://pittsburgh.events/tickets/mac-saturn/,1,Club Cafe,"Nov 13, 2025 8:00 PM"
Taylor Acorn,https://pittsburgh.events/tickets/taylor-acorn/,1,Thunderbird Cafe,"Nov 13, 2025 8:00 PM"
Eliminate,https://pittsburgh.events/tickets/eliminate/,1,Enclave - PA,"Nov 13, 2025 9:00 PM"
Candlelight: Tribute to Taylor Swift,https://pittsburgh.events/tickets/candlelight-a-tribute-to-taylor-swift/,1,Omni William Penn Hotel,"Nov 14, 2025 6:30 PM"
Taylor Tomlinson,https://pittsburgh.events/tickets/taylor-tomlinson/,1,Benedum Center,"Nov 14, 2025 7:00 PM"
Donnell Rawlings,https://pittsburgh.events/tickets/donnell-rawlings/,5,Pittsburgh Improv,"Nov 14, 2025 7:00 PM"
The English Beat,https://pittsburgh.events/tickets/the-english-beat/,2,City Winery - Pittsburgh,"Nov 14, 2025 7:30 PM"
Johnstown Tomahawks,https://pittsburgh.events/tickets/johnstown-tomahawks/,4,1st Summit Arena at Cambria County War Memorial,"Nov 14, 2025 7:30 PM"
Noise Pollution - The Music of AC/DC,https://pittsburgh.events/tickets/noise-pollution-the-music-of-ac-dc/,1,Crafthouse Stage & Grill,"Nov 14, 2025 8:00 PM"
Couch,https://pittsburgh.events/tickets/couch/,1,Thunderbird Cafe,"Nov 14, 2025 8:00 PM"
Fantastic Cat,https://pittsburgh.events/tickets/fantastic-cat/,1,The Original Pittsburgh Winery,"Nov 14, 2025 8:00 PM"
Hunter Root,https://pittsburgh.events/tickets/hunter-root/,1,Mr Small's Fun House,"Nov 14, 2025 8:00 PM"
Yellow Brick Joel - The Face to Face Tribute,https://pittsburgh.events/tickets/yellow-brick-joel-the-face-to-face-tribute/,1,Edward W. Powers Auditorium At DeYor PAC,"Nov 14, 2025 8:00 PM"
The Prince Project,https://pittsburgh.events/tickets/the-prince-project/,1,Jergel's Rhythm Grille,"Nov 14, 2025 8:00 PM"
Maroon 5,https://pittsburgh.events/tickets/maroon-5/,1,PPG Paints Arena,"Nov 14, 2025 8:00 PM"
Pittsburgh Panthers Football,https://pittsburgh.events/tickets/pittsburgh-panthers-football/,4,Acrisure Stadium,"Nov 15, 2025 3:30 AM"
Duquesne Dukes Football,https://pittsburgh.events/tickets/duquesne-dukes-football/,1,Rooney Field,"Nov 15, 2025 12:00 PM"
The Castellows,https://pittsburgh.events/tickets/the-castellows/,1,Jergel's Rhythm Grille,"Nov 15, 2025 7:00 PM"
Pablo Ferrandez,https://pittsburgh.events/tickets/pablo-ferrandez/,1,Heinz Hall,"Nov 15, 2025 7:30 PM"
Mammoth WVH,https://pittsburgh.events/tickets/mammoth-wvh/,1,Roxian Theatre,"Nov 15, 2025 7:30 PM"
The Movement,https://pittsburgh.events/tickets/the-movement/,1,Mr Small's Theatre,"Nov 15, 2025 7:30 PM"
Gardener,https://pittsburgh.events/tickets/gardener/,1,Club Cafe,"Nov 15, 2025 8:00 PM"
Pete Correale,https://pittsburgh.events/tickets/pete-correale/,1,Oaks Theater,"Nov 15, 2025 8:00 PM"
I Love R&B,https://pittsburgh.events/tickets/i-love-rb/,1,Crafthouse Stage & Grill,"Nov 15, 2025 9:00 PM"
Trans-Siberian Orchestra,https://pittsburgh.events/tickets/trans-siberian-orchestra/,2,Covelli Centre - Youngstown,"Nov 16, 2025 2:30 PM"
Work Wife,https://pittsburgh.events/tickets/work-wife/,1,Club Cafe,"Nov 16, 2025 6:00 PM"
Josh Baldwin,https://pittsburgh.events/tickets/josh-baldwin/,1,Word of Life Church - PA,"Nov 16, 2025 7:00 PM"
Herman's Hermits,https://pittsburgh.events/tickets/hermans-hermits/,1,Palace Theatre - PA,"Nov 16, 2025 7:00 PM"
Live Dead and Brothers - Grateful Dead and Allman Bros Tribute,https://pittsburgh.events/tickets/live-dead-and-brothers-grateful-dead-and-allman-bros-tribute/,1,Jergel's Rhythm Grille,"Nov 16, 2025 7:00 PM"
Emery,https://pittsburgh.events/tickets/emery/,1,Preserving Underground,"Nov 16, 2025 7:00 PM"
Sam Grisman Project,https://pittsburgh.events/tickets/sam-grisman-project/,1,City Winery - Pittsburgh,"Nov 16, 2025 7:30 PM"
Rome Ramirez,https://pittsburgh.events/tickets/rome-ramirez/,1,Mr Small's Theatre,"Nov 16, 2025 8:00 PM"
Richie Kotzen,https://pittsburgh.events/tickets/richie-kotzen/,1,Jergel's Rhythm Grille,"Nov 17, 2025 7:00 PM"
Alex Skolnick Trio,https://pittsburgh.events/tickets/alex-skolnick-trio/,1,City Winery - Pittsburgh,"Nov 17, 2025 7:30 PM"
Blippi Live,https://pittsburgh.events/tickets/blippi-live/,1,Capitol Theatre - Wheeling,"Nov 18, 2025 6:00 PM"
Bar italia,https://pittsburgh.events/tickets/bar-italia/,1,Spirit Hall,"Nov 18, 2025 7:00 PM"
Queensryche,https://pittsburgh.events/tickets/queensryche/,1,Palace Theatre - PA,"Nov 18, 2025 7:30 PM"
Yung Gravy,https://pittsburgh.events/tickets/yung-gravy/,1,Stage AE,"Nov 18, 2025 8:00 PM"
Great Lake Swimmers,https://pittsburgh.events/tickets/great-lake-swimmers/,1,Club Cafe,"Nov 18, 2025 8:00 PM"
Vandelux,https://pittsburgh.events/tickets/vandelux/,1,Mr Small's Theatre,"Nov 18, 2025 8:00 PM"
The Kitchen Dwellers,https://pittsburgh.events/tickets/the-kitchen-dwellers/,1,Thunderbird Cafe,"Nov 18, 2025 8:00 PM"
Noah Gundersen,https://pittsburgh.events/tickets/noah-gundersen/,1,Crafthouse Stage & Grill,"Nov 18, 2025 8:30 PM"
All Time Low,https://pittsburgh.events/tickets/all-time-low/,1,UPMC Events Center,"Nov 19, 2025 7:00 PM"
